Label,C,C#,D,Eb,E,F,F#,G,Ab,A,Bb,B
CM,0.51,0.03,0.12,0.09,0.3,0.19,0.07,0.28,0.09,0.24,0.06,0
C#M,0,0.51,0.03,0.12,0.09,0.3,0.19,0.07,0.28,0.09,0.24,0.06
DM,0.06,0,0.51,0.03,0.12,0.09,0.3,0.19,0.07,0.28,0.09,0.24
EbM,0.24,0.06,0,0.51,0.03,0.12,0.09,0.3,0.19,0.07,0.28,0.09
EM,0.09,0.24,0.06,0,0.51,0.03,0.12,0.09,0.3,0.19,0.07,0.28
FM,0.28,0.09,0.24,0.06,0,0.51,0.03,0.12,0.09,0.3,0.19,0.07
F#M,0.07,0.28,0.09,0.24,0.06,0,0.51,0.03,0.12,0.09,0.3,0.19
GM,0.19,0.07,0.28,0.09,0.24,0.06,0,0.51,0.03,0.12,0.09,0.3
AbM,0.3,0.19,0.07,0.28,0.09,0.24,0.06,0,0.51,0.03,0.12,0.09
AM,0.09,0.3,0.19,0.07,0.28,0.09,0.24,0.06,0,0.51,0.03,0.12
BbM,0.12,0.09,0.3,0.19,0.07,0.28,0.09,0.24,0.06,0,0.51,0.03
BM,0.03,0.12,0.09,0.3,0.19,0.07,0.28,0.09,0.24,0.06,0,0.51
Cm,0.47,0.06,0.07,0.39,0.03,0.28,0,0.3,0.25,0.1,0.06,0.1
C#m,0.1,0.47,0.06,0.07,0.39,0.03,0.28,0,0.3,0.25,0.1,0.06
Dm,0.06,0.1,0.47,0.06,0.07,0.39,0.03,0.28,0,0.3,0.25,0.1
Ebm,0.1,0.06,0.1,0.47,0.06,0.07,0.39,0.03,0.28,0,0.3,0.25
Em,0.25,0.1,0.06,0.1,0.47,0.06,0.07,0.39,0.03,0.28,0,0.3
Fm,0.3,0.25,0.1,0.06,0.1,0.47,0.06,0.07,0.39,0.03,0.28,0
F#m,0,0.3,0.25,0.1,0.06,0.1,0.47,0.06,0.07,0.39,0.03,0.28
Gm,0.28,0,0.3,0.25,0.1,0.06,0.1,0.47,0.06,0.07,0.39,0.03
Abm,0.03,0.28,0,0.3,0.25,0.1,0.06,0.1,0.47,0.06,0.07,0.39
Am,0.39,0.03,0.28,0,0.3,0.25,0.1,0.06,0.1,0.47,0.06,0.07
Bbm,0.07,0.39,0.03,0.28,0,0.3,0.25,0.1,0.06,0.1,0.47,0.06
Bm,0.06,0.07,0.39,0.03,0.28,0,0.3,0.25,0.1,0.06,0.1,0.47
